dates,vol
2021-07-26 07:20:13,15
2021-07-26 07:21:13,16
2021-07-26 07:22:13,16
2021-07-26 07:23:13,16
2021-07-26 07:24:13,16
2021-07-26 07:25:13,16
2021-07-26 07:26:13,16
2021-07-26 07:27:14,16
2021-07-26 07:28:13,16
2021-07-26 07:29:13,16
2021-07-26 07:30:14,16
2021-07-26 07:31:14,16
2021-07-26 07:32:14,16
2021-07-26 07:33:14,16
2021-07-26 07:34:14,16
2021-07-26 07:35:14,16
2021-07-26 07:36:09,12
2021-07-26 07:36:10,12
2021-07-26 07:37:09,13
2021-07-26 07:38:09,12
2021-07-26 07:39:08,13
2021-07-26 07:40:08,13
2021-07-26 07:41:09,13
2021-07-26 07:41:28,13
2021-07-26 07:41:32,13
2021-07-26 07:41:43,13
2021-07-26 07:41:45,13
2021-07-26 07:41:47,13
2021-07-26 07:42:47,13
2021-07-26 07:45:47,13
2021-07-26 07:45:49,13
2021-07-26 07:46:06,13
2021-07-26 07:46:07,13
2021-07-26 07:46:15,13
2021-07-26 07:47:16,13
2021-07-26 07:48:16,13
2021-07-26 07:49:16,13
2021-07-26 07:50:10,13
2021-07-26 07:50:25,13
2021-07-26 07:51:26,13
2021-07-26 07:52:06,13
2021-07-26 07:53:06,13
2021-07-26 07:54:07,13
2021-07-26 07:54:31,13
2021-07-26 07:54:34,13
2021-07-26 07:54:47,13
2021-07-26 07:55:46,13
2021-07-26 07:56:44,13
2021-07-26 07:57:45,13
2021-07-26 07:57:56,13
2021-07-26 07:58:03,13
2021-07-26 07:58:05,13
2021-07-26 07:59:03,13
2021-07-26 08:05:49,13
2021-07-26 08:05:51,13
2021-07-26 08:05:58,53
2021-07-26 08:06:12,54
2021-07-26 08:06:18,54
2021-07-26 08:06:43,51
2021-07-26 08:07:44,52
2021-07-26 08:07:58,52
2021-07-26 08:08:00,52
2021-07-26 08:08:58,52
2021-07-26 08:12:10,52
2021-07-26 08:12:13,52
2021-07-26 08:12:20,52
2021-07-26 08:12:32,52
2021-07-26 08:12:36,52
